 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Internações por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"351880 Guarulhos";-;1;-;-;2;20;54;116;121;165;123;132;125;146;138;113;123;147;134;110;145;120;137;135;131;145;120;110;139;122;127;142;117;141;122;140;117;127;111;126;120;116;132;108;130;153;150;111;120;147;130;117;116;128;131;131;121;146;121;141;132;142;128;105;107;126;111;123;135;125;136;117;117;143;159;137;128;110;133;121;102;125;108;119;117;124;106;113;123;128;115;124;117;118;124;140;138;130;128;107;128;124;124;134;123;158;162;170;162;138;49;13326
"351885 Guatapará";-;-;-;-;-;-;-;-;2;-;-;-;-;1;1;2;-;2;-;-;1;-;-;-;-;1;-;1;-;3;-;2;-;2;2;1;3;1;2;1;3;3;-;2;-;2;1;-;-;-;1;-;-;-;1;2;1;-;-;-;3;2;1;1;3;-;3;3;1;3;1;-;1;2;-;1;3;-;1;-;-;-;1;-;1;2;1;1;-;-;1;1;-;2;-;1;-;1;-;2;2;3;1;1;2;2;2;2;1;-;-;103
"351890 Guzolândia";-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;1;1;-;-;-;-;-;-;2;-;-;1;1;1;-;-;-;1;1;-;-;2;2;-;1;-;-;-;2;-;1;2;-;2;2;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;-;-;-;-;-;1;1;-;-;1;2;1;-;1;2;-;1;-;1;1;-;1;-;-;-;1;-;-;1;-;-;1;1;-;51
"351900 Herculândia";-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;2;-;1;1;-;-;-;-;1;-;-;1;-;-;-;-;2;-;-;-;1;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;2;2;-;-;2;-;-;-;-;-;-;1;1;-;-;-;-;1;1;2;2;1;2;1;-;2;2;2;1;3;2;-;-;-;2;-;1;2;1;1;62
"351905 Holambra";-;-;-;-;-;-;-;-;2;2;1;2;-;2;-;1;3;1;1;1;4;1;1;1;2;2;3;1;2;1;-;-;2;1;2;1;2;3;-;4;3;2;3;2;3;-;1;4;4;1;2;1;2;-;3;-;-;2;1;3;1;1;-;2;1;5;1;3;1;-;4;3;1;2;-;-;1;1;1;1;1;2;2;2;2;1;2;1;2;4;-;1;-;-;2;2;3;1;1;1;-;2;6;-;2;3;1;1;2;3;1;166
"351907 Hortolândia";-;-;-;-;3;3;10;11;23;22;25;16;27;22;20;20;25;28;22;16;15;21;15;22;22;30;21;25;29;11;20;22;19;26;17;26;27;21;18;18;21;23;21;31;20;17;31;23;20;20;33;23;35;13;21;19;19;18;25;19;18;20;25;9;14;15;20;18;18;23;24;26;20;30;28;17;26;23;13;23;21;27;31;31;32;27;20;21;26;23;17;19;22;24;48;31;31;25;26;31;34;21;29;29;23;29;23;22;14;30;27;2394
"351910 Iacanga";-;-;-;-;-;-;-;-;-;1;3;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;1;-;1;1;1;2;1;-;1;1;-;-;-;1;1;-;-;-;-;-;1;-;-;1;3;-;2;2;-;-;1;-;-;1;2;-;1;-;-;1;2;-;-;1;-;-;-;-;2;1;-;-;1;2;2;1;1;1;-;-;3;-;-;-;1;-;2;-;4;3;1;1;-;1;4;4;1;1;-;4;81
"351920 Iacri";-;-;-;-;-;-;1;1;1;2;-;-;1;-;1;-;2;2;1;2;1;3;3;2;-;-;-;1;1;2;1;1;-;2;3;1;3;2;-;1;1;3;4;-;1;1;-;1;2;4;1;2;2;4;-;1;-;1;-;2;-;2;2;2;1;1;-;-;-;-;1;2;-;-;-;1;4;1;-;1;2;2;-;-;1;-;-;1;1;-;4;1;-;1;1;1;1;1;-;-;2;1;1;1;1;4;4;3;-;1;1;125
"351925 Iaras";-;-;-;-;-;-;-;1;-;-;1;1;2;2;-;-;3;-;2;-;-;-;2;2;-;1;-;-;4;-;-;2;1;1;-;-;-;1;1;3;-;-;1;-;2;3;-;1;-;1;1;1;-;1;2;3;-;-;-;1;-;-;-;-;-;4;4;-;1;-;1;1;-;-;3;-;1;1;2;2;1;1;-;-;3;-;-;-;-;-;-;-;1;1;1;1;1;-;2;-;-;-;1;-;-;-;-;-;-;1;-;81
"351930 Ibaté";-;-;-;-;1;1;1;4;1;4;1;3;4;4;2;-;5;5;1;1;2;3;1;7;1;4;3;-;1;1;3;2;3;2;2;1;1;-;1;2;3;2;1;4;4;5;5;3;5;4;4;4;3;1;3;3;2;3;4;1;1;3;2;2;6;3;3;7;3;-;-;2;3;4;4;3;1;3;3;1;1;1;2;-;2;2;3;3;3;4;1;1;4;1;5;-;4;1;3;1;4;2;1;-;2;3;2;4;3;5;4;268
"351940 Ibirá";-;-;-;-;-;-;1;1;-;2;2;1;3;2;-;-;2;-;1;1;-;3;3;2;-;1;-;2;-;-;-;4;2;-;3;-;1;2;1;-;-;1;2;2;-;-;1;1;1;3;6;-;2;-;1;2;3;-;2;4;2;1;-;3;2;1;-;-;1;1;6;2;3;3;4;-;1;1;7;2;2;2;2;-;2;3;4;3;-;1;1;2;-;-;1;-;1;3;-;1;1;2;1;3;1;2;2;2;2;1;-;156
"351950 Ibirarema";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;1;1;3;1;1;-;-;2;-;-;-;-;1;-;-;-;-;1;1;1;-;1;1;1;2;-;2;1;5;1;1;-;-;3;1;2;-;2;-;2;-;-;1;-;1;-;1;2;-;1;1;2;-;-;-;-;1;-;2;1;-;1;-;2;-;1;-;-;-;2;-;1;-;2;-;-;-;1;1;1;1;-;1;2;2;2;-;-;-;1;-;75
"351960 Ibitinga";-;-;-;1;1;2;2;6;6;2;4;10;14;11;7;7;6;13;15;4;10;14;13;9;11;15;12;12;14;15;7;10;19;13;9;12;11;2;13;11;8;7;6;8;10;10;11;16;17;12;15;15;15;6;2;7;6;6;15;14;8;10;4;7;6;3;12;11;7;9;5;7;7;11;4;11;11;8;3;12;5;5;9;6;6;9;9;7;9;10;3;1;4;5;5;2;5;11;6;7;8;6;7;4;7;8;13;11;24;20;10;947
"351970 Ibiúna";-;-;-;-;1;1;1;3;2;4;-;2;7;4;7;2;1;3;4;4;2;1;4;5;3;3;1;3;3;4;5;5;4;7;2;8;4;3;3;4;2;1;1;6;4;5;4;4;1;3;2;6;7;3;4;2;5;2;2;1;2;4;-;-;3;5;1;1;4;5;3;2;2;2;5;3;4;1;3;4;4;2;3;3;4;1;7;-;3;3;6;5;4;5;3;5;3;4;3;3;4;1;4;5;7;4;10;11;6;8;4;374
"351980 Icém";-;-;-;-;-;-;3;-;1;1;2;-;-;1;-;-;1;1;-;1;1;-;-;1;-;-;-;1;-;-;-;1;2;-;-;-;1;1;-;1;1;2;-;-;-;1;-;1;-;-;2;-;-;1;1;1;1;2;-;-;1;-;4;-;-;1;1;2;1;1;4;2;-;-;-;1;2;4;1;5;1;1;-;-;1;-;-;1;-;1;1;-;-;-;2;-;1;-;-;-;1;1;-;1;1;2;1;-;-;-;-;79
"351990 Iepê";-;-;-;-;-;-;-;-;1;-;-;1;1;1;1;2;1;1;1;-;3;2;2;-;1;-;-;1;1;-;-;1;1;-;-;2;1;-;-;3;-;-;-;1;-;1;-;-;1;1;-;-;1;1;-;-;1;2;2;1;3;1;-;-;1;-;-;-;-;1;-;1;1;-;-;1;-;2;2;-;2;1;2;1;1;-;-;2;1;1;1;3;1;1;3;-;-;1;1;3;-;2;-;3;3;-;-;1;1;1;-;89
"352000 Igaraçu do Tietê";-;-;-;-;-;-;-;2;2;15;15;5;1;5;3;2;3;5;2;-;2;-;2;-;4;-;1;3;2;2;3;2;1;3;2;4;1;1;1;7;3;3;1;2;2;2;2;3;1;3;7;1;4;2;2;4;5;2;5;4;5;3;5;7;2;4;6;2;3;2;2;2;2;5;3;2;1;3;3;3;7;6;6;2;6;1;9;1;9;2;1;1;-;2;4;2;2;3;1;2;2;3;3;6;5;2;-;4;7;1;1;325
"352010 Igarapava";-;-;-;-;-;-;-;-;-;6;4;5;2;3;10;5;4;4;2;2;2;2;4;6;2;3;2;1;3;1;-;-;-;-;3;-;1;-;-;2;1;6;1;-;1;3;10;2;8;2;4;3;5;1;-;1;3;-;2;1;3;1;-;2;4;2;3;4;1;2;2;1;3;3;3;1;-;1;2;4;3;3;4;-;3;4;-;1;1;1;3;3;1;2;1;3;1;3;-;-;1;5;1;1;4;5;4;5;2;4;-;244
"352020 Igaratá";-;-;-;-;-;-;-;1;-;2;1;-;2;1;1;-;1;1;3;-;1;4;-;1;1;2;1;1;3;3;3;3;1;4;1;2;-;-;-;-;-;-;1;1;1;-;-;-;1;2;2;2;1;3;-;2;2;-;3;1;-;1;2;-;4;-;-;2;-;-;-;2;1;2;5;1;2;-;-;-;1;3;1;4;3;2;2;-;2;1;3;1;-;5;-;-;3;-;-;2;3;-;1;-;5;2;6;-;2;2;1;143
"352030 Iguape";-;-;-;-;-;-;-;-;-;3;1;4;2;2;1;1;1;1;4;2;1;2;1;1;1;3;1;-;2;1;1;1;-;-;-;4;2;5;1;3;1;-;3;-;1;1;1;3;1;-;-;2;1;-;3;-;3;1;1;3;-;1;2;1;4;-;-;2;1;1;1;3;2;1;1;1;-;2;-;1;2;1;-;-;-;1;-;-;-;1;-;-;1;-;3;2;1;1;-;2;1;-;-;1;-;-;-;-;-;5;-;123
"352042 Ilha Comprida";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;1;3;-;1;1;2;2;2;1;-;-;-;2;1;1;3;-;2;-;-;1;1;1;1;-;1;1;2;-;-;-;4;2;-;-;1;-;1;-;1;-;-;2;2;-;1;1;-;2;-;1;-;1;-;1;-;2;2;4;3;3;1;-;2;-;1;-;4;1;-;1;2;1;1;-;-;-;-;-;3;-;1;1;-;1;1;2;1;91
"352044 Ilha Solteira";-;-;-;-;-;-;-;-;1;2;2;2;2;2;2;2;2;3;-;-;-;-;1;1;1;1;1;-;1;-;4;2;1;2;1;1;2;1;-;1;1;3;2;1;-;1;-;-;1;3;1;-;1;-;3;3;2;2;1;-;-;3;1;-;2;3;2;2;-;2;4;1;2;-;1;1;2;2;2;3;3;3;2;3;1;2;2;-;4;3;-;1;1;-;3;3;5;-;2;3;2;3;2;3;2;1;2;-;2;-;-;157
"352040 Ilhabela";-;-;-;-;-;-;1;1;1;-;-;2;-;3;6;2;2;3;2;-;2;4;3;3;-;1;4;3;3;2;2;2;3;9;4;4;-;3;3;5;2;-;2;3;1;2;2;3;5;3;1;2;-;-;3;2;5;1;3;1;4;3;4;3;1;6;1;2;3;4;4;11;4;2;5;3;6;7;-;4;4;2;5;2;9;3;1;4;2;5;2;4;-;2;5;4;4;4;1;-;2;8;3;3;6;5;3;5;1;4;-;304
"352050 Indaiatuba";-;-;-;1;2;3;3;10;16;18;13;11;13;12;23;12;12;12;17;20;18;20;26;18;21;39;25;18;27;28;19;28;25;14;21;34;34;33;26;31;26;31;19;30;37;25;41;29;27;18;14;17;19;27;15;23;12;20;30;21;24;26;27;21;17;18;25;20;16;25;28;19;20;31;23;27;22;19;22;15;13;22;18;19;10;28;15;22;18;18;27;18;19;27;14;22;23;15;31;13;20;23;24;22;14;24;27;42;55;46;29;2347
"352060 Indiana";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;2;5;1;1;1;-;-;-;2;2;1;3;1;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;-;1;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;1;-;2;-;-;3;-;1;2;2;-;-;1;-;-;-;-;-;-;1;1;-;1;-;-;-;2;-;53
"352070 Indiaporã";-;-;-;-;-;-;-;-;-;1;-;-;1;1;3;2;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;-;1;1;-;-;-;-;-;1;-;1;2;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;2;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;3;2;1;1;-;40
"352080 Inúbia Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;2;-;1;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;1;23
"352090 Ipaussu";-;-;-;-;-;-;-;1;2;2;2;2;1;2;4;4;7;3;1;3;-;-;3;1;5;3;3;-;2;2;1;1;4;1;3;2;2;3;2;3;4;1;2;2;-;1;2;-;1;1;-;2;-;-;2;3;1;4;2;-;3;4;1;1;3;2;2;-;2;4;2;1;2;2;7;1;2;-;-;1;1;3;2;2;1;-;5;1;3;-;3;2;-;-;2;1;2;2;2;2;3;1;3;1;6;1;2;5;3;2;-;204
"352100 Iperó";-;-;-;-;-;2;2;-;-;-;1;1;3;-;3;1;1;1;2;3;1;-;-;2;-;3;2;1;3;1;-;1;-;2;3;3;-;-;3;2;-;1;3;1;-;1;2;1;2;1;3;4;-;1;1;1;1;6;4;1;1;1;-;1;3;2;1;3;1;-;-;-;1;5;2;1;2;3;1;1;2;-;-;2;-;1;2;2;5;1;1;1;2;2;3;1;-;1;4;2;3;2;2;3;1;1;1;1;2;3;-;161
"352110 Ipeúna";-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;1;1;-;-;-;1;-;1;1;-;1;-;1;-;-;2;-;1;-;-;-;-;1;2;-;1;1;1;-;3;1;-;36
"352115 Ipiguá";-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;1;-;1;1;1;-;-;-;2;-;-;-;-;-;1;-;-;1;-;-;-;1;-;2;-;-;1;-;-;-;-;1;1;1;2;2;1;1;-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;2;1;-;1;1;1;2;2;1;3;1;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;-;55
"352120 Iporanga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;1;1;-;-;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;28
"352130 Ipuã";-;-;-;-;-;-;2;1;-;1;2;3;3;2;6;-;2;2;3;3;1;-;-;1;1;-;-;-;2;1;1;-;-;5;2;2;1;1;4;2;-;1;-;1;1;1;-;1;2;1;1;1;-;-;1;-;1;-;1;3;1;3;-;1;3;2;3;1;1;1;2;-;4;2;1;-;-;-;1;6;2;-;1;2;3;1;1;2;-;-;1;-;-;-;-;-;2;1;2;1;2;1;-;2;1;2;1;-;-;1;-;131
"352140 Iracemápolis";-;-;-;-;-;-;-;1;-;4;-;-;1;-;-;1;1;2;2;3;1;-;-;-;-;1;3;2;-;1;-;-;2;-;4;-;1;2;-;-;1;4;1;2;4;2;4;2;1;-;2;1;-;1;3;-;1;3;2;-;-;-;-;1;1;-;-;2;1;4;1;2;1;1;-;1;2;2;-;1;-;2;1;2;3;2;1;-;2;1;1;1;1;4;-;1;-;1;3;1;-;3;1;1;-;1;-;3;1;3;-;126
"352150 Irapuã";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;2;1;-;-;-;1;1;-;-;2;2;1;1;-;2;-;2;1;-;-;-;3;1;-;1;1;1;-;-;2;3;-;1;2;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;-;1;3;3;-;1;-;1;1;2;-;1;-;-;-;-;-;-;1;1;1;1;-;-;3;2;3;-;1;-;2;-;69
"352160 Irapuru";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;1;1;-;-;-;1;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;1;1;2;1;1;-;-;-;-;1;-;2;1;-;-;-;1;1;-;1;-;3;3;1;-;-;1;-;1;-;1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;1;1;-;1;-;-;-;-;1;1;1;2;-;1;2;1;2;-;-;-;-;53
"352170 Itaberá";-;-;-;-;-;-;2;-;2;3;3;2;2;-;4;1;1;2;5;1;1;4;5;1;2;-;4;3;1;1;1;1;-;2;2;3;1;-;1;2;2;2;1;2;3;1;1;1;1;1;1;1;2;1;-;2;-;-;-;-;1;1;-;-;3;2;1;-;1;1;-;2;3;-;1;-;2;2;-;1;1;1;-;3;1;1;1;1;-;2;2;5;1;1;3;1;1;-;1;1;-;-;2;2;-;-;1;-;1;3;-;142
"352180 Itaí";-;-;-;-;-;-;1;1;3;2;1;4;6;2;4;2;3;1;-;4;1;3;5;3;5;5;3;7;1;-;1;2;1;2;5;2;1;3;1;2;4;4;1;6;-;2;1;5;2;2;-;1;3;-;2;2;2;2;1;1;2;2;1;1;5;1;1;2;1;-;-;1;6;3;6;5;7;3;-;1;3;5;3;1;2;1;3;3;3;2;1;2;3;2;2;-;3;6;5;1;4;4;2;2;2;6;1;2;6;1;2;259
"352190 Itajobi";-;-;-;-;-;1;-;2;3;2;-;1;3;2;1;2;-;-;-;-;-;2;3;4;4;1;2;-;3;4;4;2;1;1;-;1;1;-;4;-;-;-;-;1;2;1;1;1;3;-;3;4;5;1;2;1;1;2;1;4;4;6;3;2;1;5;3;-;2;1;2;4;2;3;4;2;3;7;1;1;-;-;2;1;4;7;2;2;2;5;1;2;3;1;4;1;-;6;4;3;3;4;3;4;1;3;2;1;2;1;1;218
"352200 Itaju";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;1;-;-;-;-;-;-;-;2;1;1;2;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2;-;1;1;1;-;1;1;1;-;2;-;-;1;-;-;36
"352210 Itanhaém";-;-;-;-;-;1;5;8;6;9;9;8;2;8;7;3;9;7;4;9;5;9;11;4;3;4;6;5;11;4;2;9;10;8;8;7;5;4;11;7;5;2;7;3;6;7;6;6;3;7;2;5;3;7;4;4;4;2;5;8;6;6;2;7;5;3;3;4;5;6;3;5;6;6;5;8;3;6;4;4;3;3;3;3;9;6;9;6;6;3;5;9;8;11;8;16;8;12;10;8;9;9;7;18;3;7;15;13;12;16;10;686
"352215 Itaóca";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;17
"352220 Itapecerica da Serra";-;-;-;-;2;-;15;19;16;10;13;10;14;12;15;20;14;12;14;8;14;13;17;6;11;13;20;11;16;9;9;6;8;9;11;16;11;9;9;10;8;13;17;14;19;17;13;9;13;9;11;21;19;12;19;11;16;9;7;9;6;12;6;17;14;9;12;21;16;14;10;10;6;11;9;7;9;11;17;9;6;17;16;7;10;17;18;14;7;10;14;10;13;16;17;13;10;16;10;10;19;22;20;14;18;18;16;15;25;21;16;1369
"352230 Itapetininga";-;-;-;-;-;2;5;8;8;8;8;5;8;7;5;5;10;10;15;17;15;8;14;8;14;13;15;9;9;5;10;10;13;14;13;13;12;15;17;13;9;5;5;6;20;13;6;11;7;7;14;4;6;11;13;9;11;8;6;12;16;12;11;12;6;10;10;9;7;9;15;6;17;19;8;13;12;9;11;7;7;14;17;13;17;8;6;9;10;8;6;11;6;7;12;9;20;8;8;12;6;10;14;10;8;12;20;18;12;20;13;1114
"352240 Itapeva";-;-;-;-;-;4;11;4;12;4;3;7;9;10;4;12;6;4;6;4;5;3;13;11;4;8;11;3;12;8;5;5;6;7;5;11;9;7;6;11;9;9;10;5;8;7;12;11;5;3;6;5;2;6;6;8;5;10;7;12;11;14;11;5;9;12;7;9;4;5;9;4;5;4;15;6;8;7;8;7;4;6;11;8;13;9;5;7;3;4;11;7;3;5;9;5;13;4;5;9;1;10;5;5;8;11;9;7;1;4;2;760
"352250 Itapevi";-;-;-;-;1;3;11;20;21;17;13;22;16;24;20;26;35;27;25;27;23;21;27;26;24;21;24;21;25;27;27;24;34;42;30;26;28;31;17;18;23;15;18;35;16;27;30;33;33;28;24;22;30;30;21;25;23;31;24;35;20;25;27;20;20;29;23;27;27;17;19;24;21;20;24;25;21;17;14;19;26;19;25;24;17;28;22;19;23;11;15;19;20;20;28;18;21;23;18;15;23;26;21;22;20;25;26;24;34;31;18;2467
"352260 Itapira";-;-;-;-;-;-;1;7;10;6;7;10;11;7;5;6;4;9;4;4;7;11;11;13;9;11;13;16;3;8;16;11;6;5;6;6;12;8;13;13;4;9;8;10;7;7;12;6;12;5;13;1;3;11;9;11;3;4;10;11;13;9;6;8;10;9;4;5;8;10;11;8;8;6;7;10;8;12;10;6;1;11;8;9;10;12;18;9;9;12;7;7;12;18;16;9;8;10;13;5;13;7;5;5;9;8;6;5;13;9;3;900
"352265 Itapirapuã Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;1;-;-;1;1;-;-;-;2;-;1;-;-;-;1;-;19
"352270 Itápolis";-;-;-;-;-;2;2;4;4;5;3;6;3;2;3;6;5;4;6;4;1;-;1;5;3;2;4;3;7;6;3;4;6;2;3;5;5;1;3;1;2;1;2;2;5;-;2;4;4;3;4;6;5;5;3;2;3;6;3;3;8;7;4;5;5;5;4;4;8;9;4;4;6;5;5;5;4;-;5;-;-;8;5;7;7;2;6;2;6;6;10;5;7;7;6;1;4;5;6;3;3;5;8;6;7;4;11;11;18;12;18;492
"352280 Itaporanga";-;-;-;-;-;-;-;-;1;2;-;-;4;2;-;-;1;1;1;1;2;1;1;1;3;2;3;-;2;5;2;2;1;1;-;5;1;5;5;1;1;1;2;1;1;-;1;1;3;1;-;2;2;1;-;2;-;4;3;1;4;4;3;2;1;3;1;1;3;1;1;1;4;6;3;1;3;-;2;1;-;4;-;3;-;4;3;2;3;2;2;3;1;-;1;2;3;4;5;-;1;2;3;1;3;4;2;2;3;1;-;192
"352290 Itapuí";-;-;-;-;-;-;-;-;1;1;1;1;1;2;1;1;-;1;-;-;1;1;2;2;-;-;4;3;-;-;1;-;2;2;1;1;2;1;-;1;-;2;-;2;4;-;1;1;-;-;3;3;-;1;1;2;-;4;-;1;5;2;-;-;4;-;1;1;1;3;2;-;1;1;1;-;1;-;-;2;1;-;3;3;1;-;4;1;3;-;1;1;-;1;1;2;2;7;-;-;1;1;3;3;1;1;-;1;1;-;2;129
"352300 Itapura";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;2;2;1;1;-;-;1;-;-;-;-;-;-;-;-;-;3;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;1;-;-;-;-;1;28
"352310 Itaquaquecetuba";-;-;-;1;3;5;19;40;23;34;33;26;32;30;31;33;31;23;37;24;30;33;23;37;26;26;37;28;23;30;33;29;24;39;32;32;33;19;28;18;36;25;34;27;21;14;23;43;30;24;27;26;30;26;26;34;29;22;29;15;38;24;22;21;27;32;24;25;17;31;31;33;22;27;28;33;21;29;41;42;27;37;41;35;34;28;40;28;26;26;30;39;26;30;32;34;27;36;35;33;28;32;40;29;24;45;49;52;41;39;22;3159
"352320 Itararé";-;-;-;-;1;1;2;5;4;5;2;3;4;2;-;2;3;3;6;3;5;4;3;1;4;1;3;10;2;4;3;4;3;3;1;5;4;2;9;5;5;1;5;3;12;6;2;1;4;4;3;2;3;2;2;4;4;2;6;3;1;8;3;12;3;7;4;3;4;4;7;5;7;3;8;3;2;1;1;1;1;5;5;1;4;3;4;2;5;-;3;1;2;5;6;11;7;7;6;11;6;1;11;2;6;7;8;4;3;3;2;425
"352330 Itariri";-;-;-;-;-;-;-;3;-;-;2;-;-;2;1;-;1;1;-;-;1;-;-;-;1;-;1;-;-;-;-;1;2;1;1;3;-;3;3;1;2;2;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;1;-;3;1;-;1;-;-;-;-;1;1;-;-;-;-;2;1;-;2;1;1;-;1;-;1;1;1;-;-;-;2;1;2;-;1;2;-;2;2;3;1;2;2;2;1;2;-;1;-;1;2;3;-;86
